id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
1741,CYGE,medium_airport,Golden Airport,51.299196,-116.982002,2575,,Canada,CA,British Columbia,CA-BC,BC,Golden,0,CYGE,,,,,https://en.wikipedia.org/wiki/Golden_Airport,AL4,250,2016-09-09T08:15:10+00:00
1355,CNW3,small_airport,Bancroft Community Airport,45.072652,-77.880678,1085,,Canada,CA,Ontario,CA-ON,ON,Bancroft,0,CNW3,,,CNW3,,https://en.wikipedia.org/wiki/Bancroft_Airport,"NW3, Jack Brown",50,2024-07-06T09:43:02+00:00
1455,CPT2,small_airport,Killarney Airport,45.97750092,-81.49469757,608,,Canada,CA,Ontario,CA-ON,ON,Killarney,0,CPT2,,,CPT2,http://www.killarney.com/Getting_here/Killarney_airport/index.html,https://en.wikipedia.org/wiki/Killarney_Airport,PT2,50,2008-06-13T14:30:04+00:00
1511,CSE4,small_airport,Lachute Airport,45.63940048,-74.37059784,221,,Canada,CA,Quebec,CA-QC,QC,Lachute,0,CSE4,,,CSE4,,https://en.wikipedia.org/wiki/Lachute_Airport,SE4,50,2008-06-13T14:30:04+00:00
1689,CYCG,medium_airport,Castlegar/West Kootenay Regional Airport,49.296398,-117.632004,1624,,Canada,CA,British Columbia,CA-BC,BC,Castlegar,1,CYCG,CYCG,YCG,,https://www.wkrairport.ca/,https://en.wikipedia.org/wiki/Castlegar_Airport,,750,2024-05-09T15:21:38+00:00
1975,CYYE,medium_airport,Fort Nelson Airport,58.83639908,-122.5970001,1253,,Canada,CA,British Columbia,CA-BC,BC,Fort Nelson,1,CYYE,CYYE,YYE,,,https://en.wikipedia.org/wiki/Fort_Nelson_Airport,,750,2014-03-18T23:23:44+00:00
1726,CYEV,medium_airport,Inuvik Mike Zubko Airport,68.30419922,-133.4830017,224,,Canada,CA,Northwest Territories,CA-NT,NT,Inuvik,1,CYEV,CYEV,YEV,,,https://en.wikipedia.org/wiki/Inuvik_(Mike_Zubko)_Airport,,750,2014-03-15T23:10:26+00:00
1924,CYTR,medium_airport,CFB Trenton,44.1189003,-77.52809906,283,,Canada,CA,Ontario,CA-ON,ON,Trenton,0,CYTR,CYTR,YTR,,,https://en.wikipedia.org/wiki/CFB_Trenton,,475,2008-06-13T14:30:04+00:00
1719,CYEL,medium_airport,Elliot Lake Municipal Airport,46.35139847,-82.56140137,1087,,Canada,CA,Ontario,CA-ON,ON,Elliot Lake,0,CYEL,CYEL,YEL,,http://cyelont.tripod.com/cyel/,https://en.wikipedia.org/wiki/Elliot_Lake_Municipal_Airport,,250,2010-04-20T22:57:06+00:00
1896,CYRV,medium_airport,Revelstoke Airport,50.962245,-118.184258,1459,,Canada,CA,British Columbia,CA-BC,BC,Revelstoke,0,CYRV,CYRV,YRV,,,https://en.wikipedia.org/wiki/Revelstoke_Airport,YRV,250,2021-02-11T20:53:29+00:00
